zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,latitude,longitude
70117,11495,27720,45.1,7.6,4140,29.968157,-90.029962
70118,12728,41227,35.5,16.3,3948,29.944708,-90.125674
70119,16381,35331,38.3,11.0,7912,29.975137,-90.086944
70121,5453,47710,27.3,16.4,860,29.960366,-90.163994
70122,14258,37974,36.5,13.4,2148,30.013437,-90.062798
70123,11903,64878,14.9,22.7,8034,29.949989,-90.205559
70124,8186,90033,10.2,31.0,868,30.007379,-90.103919
70125,6143,40156,36.2,15.2,736,29.952072,-90.10331
70126,9627,25572,48.9,7.0,2034,30.0182,-90.020724
70127,9420,26113,48.2,9.1,992,30.02365,-89.977867
70128,7144,38895,35.7,13.6,280,30.050846,-89.956039
70129,3092,39458,31.0,11.2,640,30.080851,-89.813366
70130,7939,50716,30.9,20.8,23700,29.937353,-90.069648
70131,12058,48833,25.3,16.6,386,29.906333,-89.95834
70139,0,-,0,0,150,29.95023,-90.070995
70163,0,-,0,0,234,29.950058,-90.075441
70301,16652,48280,26.0,18.0,7144,29.808328,-90.750267
70339,2582,64732,26.6,23.6,130,29.909505,-91.182866
70340,43,-,100.0,46.9,160,29.669742,-91.104288
70341,1529,36236,34.0,13.8,76,30.03252,-91.06746
70342,1760,43906,31.4,15.0,156,29.693147,-91.23834
70343,1848,62162,16.5,20.7,164,29.548398,-90.557239
70344,2093,41509,31.3,15.9,146,29.176879,-90.515055
70345,3513,57813,24.4,21.6,384,29.548416,-90.25902
70346,3951,37019,36.1,13.9,382,30.153716,-91.0032
70352,55,-,32.8,54.2,6,29.684424,-90.940194
70353,489,36103,29.2,17.5,42,29.358143,-90.700118
70354,1790,55483,29.7,23.4,182,29.452557,-90.282355
70355,358,41389,20.9,21.4,10,29.7172,-90.46895
70356,819,23901,53.1,9.0,68,29.631566,-90.970879
70357,1057,50015,26.8,16.4,218,29.242273,-90.219498
70358,335,37438,28.4,22.2,60,29.214732,-90.027546
70359,3070,50211,27.1,22.2,216,29.694018,-90.776515
70360,10770,61911,20.8,26.3,5688,29.578671,-90.805402
70363,8145,36806,34.4,12.9,1086,29.538288,-90.704647
70364,11375,53541,25.0,19.8,1052,29.627714,-90.681904
70372,1073,47798,29.8,19.9,60,29.782968,-90.988969
70373,2621,52879,24.5,17.8,234,29.597954,-90.318653
70374,2530,61682,22.7,24.5,220,29.604507,-90.501988
70375,34,-,52.9,52.8,22,29.690078,-90.536448
70377,1539,42525,31.9,11.9,42,29.347284,-90.502648
70380,8756,41027,29.8,12.4,2820,29.731623,-91.134095
70390,2515,45994,32.0,19.6,162,29.897281,-91.031061
70391,70,73966,12.9,36.7,30,29.990816,-91.060804
70392,3223,48417,24.5,14.2,244,29.731242,-91.318321
70393,319,60859,11.6,39.5,30,29.991358,-91.007272
70394,5479,46177,25.3,15.2,430,29.692681,-90.61612
70395,1895,60450,26.9,20.3,164,29.697436,-90.86173
70397,305,44688,30.1,27.5,24,29.396843,-90.791281
70401,7439,40575,34.6,12.8,2672,30.533553,-90.455443
70402,0,-,0,0,8,30.516161,-90.470129
70403,10918,45584,29.7,16.1,1356,30.485555,-90.487688
70420,3176,61766,14.9,25.9,244,30.484687,-89.953028
70422,5577,38340,35.2,18.6,496,30.734832,-90.480843
70426,1807,39005,36.6,16.9,92,30.926497,-89.858614
70427,7538,30836,43.1,7.5,1360,30.744198,-89.912079
70431,2037,63774,14.6,24.3,76,30.616752,-89.967363
70433,13914,68654,16.3,26.1,6652,30.45897,-90.158662
70435,6667,68594,19.5,26.8,856,30.556992,-90.106639
70436,303,22785,66.7,10.9,8,30.793036,-90.521582
70437,3194,69795,26.7,35.3,196,30.619596,-90.209238
70438,7176,36416,35.9,10.7,528,30.846224,-90.111321
70441,1597,42271,34.8,16.5,128,30.859967,-90.749066
70442,36,-,0,51.3,18,30.69314,-90.334028
70443,3654,31591,41.7,8.7,190,30.632673,-90.534579
70444,3813,30625,39.6,14.2,254,30.897005,-90.489375
70445,4143,51357,24.5,22.3,254,30.375351,-89.910291
70446,2715,60726,24.5,23.0,108,30.630171,-90.349707
